CR_Lv4_Name,QA_Score,QA_Audits,Feedback_CNT,Satisfied_CNT,CSAT_Pct,Contacts,Recontact_Volume,Recontact_Rate,QA_Status,CSAT_Status,RC_Status,Risk_Flags
Apply coupon to pay an order(non-af),93.33333333333333,3.0,,,,,,,green,na,na,0
Driver or store request to cancel order,99.66666666666667,30.0,,,,,,,green,na,na,0
Driver mismatch,93.33333333333333,3.0,,,,,,,green,na,na,0
Didi pay balance & top up,90.0,1.0,,,,,,,green,na,na,0
Damaged order,89.0,50.0,5962.0,5489.0,92.07,38723.0,1130.0,2.92,green,green,green,0
Courier over charged me,100.0,1.0,,,,,,,green,na,na,0
User placed order with wrong information,95.0,34.0,,,,,,,green,na,na,0
Online payment failure (under antifraud review),95.0,54.0,,,,2686.0,218.0,8.12,green,na,amber,0
Order status management,100.0,1.0,,,,,,,green,na,na,0
Other business line,99.0,10.0,,,,,,,green,na,na,0
Modify phone number,100.0,1.0,,,,,,,green,na,na,0
Membership program benefits,95.0,2.0,,,,,,,green,na,na,0
Issues while paying to courier,94.42307692307692,52.0,,,,,,,green,na,na,0
Invalid contact,92.58064516129032,31.0,,,,,,,green,na,na,0
Membership program renewal charge,93.33333333333333,6.0,,,,,,,green,na,na,0
Inedible order,97.48387096774194,155.0,,,,,,,green,na,na,0
Incomplete order,96.27329192546584,161.0,,,,,,,green,na,na,0
driver or store request to cancel,98.33333333333333,6.0,18.0,15.0,83.33,64.0,4.0,6.25,green,amber,amber,0
driver mismatch,100.0,8.0,,,,5306.0,36.0,0.68,green,na,green,0
discover business categories,,,,,,2.0,0.0,0.0,na,na,green,0
cannot receive coupon (under antifraud review),100.0,1.0,,,,30.0,1.0,3.33,green,na,green,0
cannot use my coupon,100.0,1.0,,,,,,,green,na,na,0
cannot use my coupon (under antifraud review),90.0,12.0,,,,142.0,9.0,6.34,green,na,amber,0
coupon bundle management,,,,,,1.0,0.0,0.0,na,na,green,0
customer service observations,,,,,,33.0,0.0,0.0,na,na,green,0
cannot receive cash order (under antifraud review),100.0,1.0,,,,,,,green,na,na,0
cannot share my referral promocode (under antifraud review),100.0,1.0,,,,24.0,1.0,4.17,green,na,green,0
Wrong order,81.0,20.0,,,,,,,amber,na,na,0
accept or stop orders,100.0,1.0,,,,,,,green,na,na,0
Verbal aggression,93.33333333333333,3.0,,,,,,,green,na,na,0
book of claims,,,,,,775.0,62.0,8.0,na,na,amber,0
cancel the order,86.66666666666667,9.0,5593.0,4759.0,85.09,136897.0,3786.0,2.77,green,green,green,0
cannot place cash order,100.0,1.0,,,,,,,green,na,na,0
User request order status or delay information,95.6,25.0,,,,,,,green,na,na,0
add payment method,,,,,,1.0,0.0,0.0,na,na,green,0
access to personal data,98.0,5.0,2.0,2.0,100.0,24.0,1.0,4.17,green,green,green,0
Placing an order information,95.0,2.0,,,,,,,green,na,na,0
Rate another user,100.0,4.0,,,,,,,green,na,na,0
Refund failed,95.0,2.0,,,,,,,green,na,na,0
Refund status and conditions doubts,100.0,2.0,,,,,,,green,na,na,0
Payment methods available,100.0,1.0,,,,,,,green,na,na,0
Robbery,90.0,1.0,,,,,,,green,na,na,0
Service not available in my area,90.0,1.0,,,,,,,green,na,na,0
Store refuses to deliver,100.0,1.0,,,,,,,green,na,na,0
Stalking,100.0,1.0,,,,,,,green,na,na,0
Terms and conditions,100.0,1.0,,,,,,,green,na,na,0
User disagrees with cancellation charge/debt-groceries,96.0,5.0,,,,12.0,0.0,0.0,green,na,green,0
User don't want the order anymore,87.36842105263158,19.0,,,,,,,green,na,na,0
drug possession,100.0,1.0,,,,37.0,0.0,0.0,green,na,green,0
physical aggression,100.0,1.0,,,,593.0,17.0,2.87,green,na,green,0
other business line,100.0,40.0,,,,3892.0,0.0,0.0,green,na,green,0
order invoice issues - groceries,100.0,1.0,1.0,1.0,100.0,,,,green,green,na,0
order appears as completed but customer haven't receive it - market place,100.0,1.0,148.0,119.0,80.41,1875.0,54.0,2.88,green,amber,green,0
order appears as completed but customer haven't receive it - groceries,100.0,2.0,1.0,1.0,100.0,15.0,0.0,0.0,green,green,green,0
modify payment method,86.66666666666667,9.0,7.0,6.0,85.71,468.0,3.0,0.64,green,green,green,0
fraud behavior report,,,,,,10.0,0.0,0.0,na,na,green,0
frequent user discount program,,,,,,12.0,0.0,0.0,na,na,green,0
install software or app,,,,,,3.0,0.0,0.0,na,na,green,0
information disclosure,,,,,,1.0,0.0,0.0,na,na,green,0
inedible order,99.58333333333333,48.0,7685.0,7018.0,91.32,57682.0,2985.0,5.17,green,green,green,0
incomplete order,96.66666666666667,30.0,8227.0,7353.0,89.38,128724.0,4110.0,3.19,green,green,green,0
legal request,,,,,,21.0,2.0,9.52,na,na,amber,0
invalid contact,100.0,4.0,,,,6298.0,589.0,9.35,green,na,amber,0
manage preparation instructions,100.0,1.0,,,,8.0,0.0,0.0,green,na,green,0
missing people,,,,,,13.0,0.0,0.0,na,na,green,0
food poisoning,100.0,10.0,,,,1545.0,95.0,6.15,green,na,amber,0
sexual harassment,,,,,,92.0,1.0,1.09,na,na,green,0
stalking,90.0,2.0,,,,33.0,3.0,9.09,green,na,amber,0
scam,97.5,4.0,,,,106.0,7.0,6.6,green,na,amber,0
pre-authorization charge,,,,,,6.0,0.0,0.0,na,na,green,0
refund status and conditions doubts,99.0,10.0,,,,,,,green,na,na,0
robbery,,,,,,1311.0,53.0,4.04,na,na,green,0
ticket return from clipper,,,,,,5.0,0.0,0.0,na,na,green,0
update password,,,,,,5.0,0.0,0.0,na,na,green,0
update e-mail,,,,,,4.0,0.0,0.0,na,na,green,0
traffic accident,,,,,,51.0,0.0,0.0,na,na,green,0
ticket returned by clipper,,,,,,4473.0,47.0,1.05,na,na,green,0
user placed order with wrong information,,,1245.0,1006.0,80.8,5751.0,205.0,3.56,na,amber,green,0
user don't want the order anymore,,,10518.0,9289.0,88.32,282543.0,6216.0,2.2,na,green,green,0
user-to-user contact,,,,,,9.0,0.0,0.0,na,na,green,0
wrong order,99.52380952380952,21.0,7359.0,6784.0,92.19,70148.0,2056.0,2.93,green,green,green,0
