CR Lv4,Channel,Business Type Name,Country Code,open_question,CSAT_Pct,Feedback CNT
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Full Service,CO,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,PE,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
user don't want the order anymore,PHONE,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,CO,Other,0.0,1
membership program renewal charge,LIVE CHAT,Food,MX,Ni responde,0.0,1
incomplete order,PHONE,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
incomplete order,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,CO,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,CO,Other,0.0,1
incomplete order,LIVE CHAT,Full Service,CO,Other,0.0,1
user don't want the order anymore,PHONE,Full Service,CO,Other,0.0,1
user don't want the order anymore,PHONE,Food,MX,Other,0.0,1
user don't want the order anymore,PHONE,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Son inútiles,0.0,1
inedible order,LIVE CHAT,Full Service,CR,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
Damaged order,LIVE CHAT,Food,MX,No me dio una solución correcta,0.0,1
incomplete order,LIVE CHAT,Full Service,CO,"me vino el pedido incómpleto y me cobraron pedi ayuda y no ayudan en nada, uno se qeja cada rato y ni una ni otra solución dan básicamente me estafaron no me me vino lo qe yo page y ustedes como aplicación cobran, y no es solo esta ocasión ya don algunas veces , espero no volver a ten er qe. usar esta aplicación y el servicio tann pesimo qe entregan al consumidor",0.0,1
order is active but customer already received it,LIVE CHAT,Full Service,CO,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,No solucionaron nada,0.0,1
inedible order,LIVE CHAT,Full Service,CO,Other,0.0,1
incomplete order,LIVE CHAT,Full Service,CO,Other,0.0,1
inedible order,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user placed order with wrong information,LIVE CHAT,Full Service,CO,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Market Place,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,PHONE,Food,MX,Other,0.0,1
order appears as completed but customer haven't receive it - full service,LIVE CHAT,Full Service,CO,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,CO,Quiero poder hablar con una persona de soporte que me ayude a resolver los problemas. Si me cancelaron la orden pero fue por un problema externo y al final me tuve que quedar sin mi comida. Necesitamos personas que nos puedan ayudar en tiempo real. Ni la llamada de soporte la contestaron,0.0,1
inedible order,LIVE CHAT,Food,MX,Other,0.0,1
membership program benefits,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
incomplete order,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Fue mucho tiempo de espera con el bot y es complicado decía que igual me cobrarían al cancelar.  La atención de la persona en el chat fue excelente!,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Tardo demasiado el soporte,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Muy tardado,0.0,1
membership program renewal charge,LIVE CHAT,Full Service,CO,Other,0.0,1
incomplete order,LIVE CHAT,Full Service,CO,Other,0.0,1
incomplete order,LIVE CHAT,Food,MX,"No permitan que las imágenes que presentan sean mucho más grande de lo que son en realidad, los clientes nos sentimos estafados",0.0,1
user request order status or delay information,PHONE,Market Place,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,Other,0.0,1
inedible order,LIVE CHAT,Food,MX,Nadie me respondió ni me aclaro mis dudas,0.0,1
user request order status or delay information,LIVE CHAT,Market Place,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,"pésimo servicio, su solución nada que ver con lo que pedí.",0.0,1
user don't want the order anymore,LIVE CHAT,Market Place,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Food,MX,Other,0.0,1
refund status and conditions,PHONE,Food,MX,Other,0.0,1
user request order status or delay information,PHONE,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,No me dieron ninguna solucion,0.0,1
inedible order,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Market Place,MX,No resolvieron mi problema,0.0,1
inedible order,LIVE CHAT,Food,MX,no sé me hace justo pagar por alimentos en mal estado,0.0,1
User disagrees with cancellation charge/debt,PHONE,Full Service,CO,Other,0.0,1
inedible order,LIVE CHAT,Food,MX,Other,0.0,1
User disagrees with cancellation charge/debt,PHONE,Full Service,CO,El domiciliario se llevó mi pedido y no me resolvieron,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Full Service,CO,Lo peor,0.0,1
after sales user fraud (under anti fraud review),LIVE CHAT,Full Service,CO,Other,0.0,1
driver or store request to cancel order,LIVE CHAT,Food,MX,No es culpa de atención a clientes es DIDI que no tiene los medios para resolver.,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,PHONE,Full Service,CO,No me dieron respuesta,0.0,1
order is active but customer already received it,LIVE CHAT,Full Service,CO,Problema con el repartidor el tiempo de entrega y la comida fría,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,PHONE,Food,MX,Other,0.0,1
after sales user fraud (under anti fraud review),LIVE CHAT,Food,MX,No puede ser posible que no me dieron solución para nada apesar de que explique la solución detalladamente pésimo servicio,0.0,1
order appears as completed but customer haven't receive it - market place,LIVE CHAT,Market Place,MX,Other,0.0,1
user placed order with wrong information,LIVE CHAT,Food,MX,Other,0.0,1
after sales user fraud (under anti fraud review),LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Pare e que tiene retraso mental no entiende lo que se le dice.,0.0,1
incomplete order,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,PHONE,Full Service,CO,Other,0.0,1
Courier overcharged me,LIVE CHAT,Full Service,PE,Other,0.0,1
user don't want the order anymore,PHONE,Food,MX,Other,0.0,1
inedible order,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,"Una atención poco empatía, grosera, tardaba mucho en responder y solo contestaba lo que ella quería, tardo casi 4 horas mi pedido y ella no decía nada más que puedo cancelar tu pedido, le preguntaba cómo iba el repartidor o así por qué la aplicación no me decía nada y no respondía solo que si quería cancelaba",0.0,1
user request order status or delay information,PHONE,Full Service,CO,Other,0.0,1
after sales user fraud (under anti fraud review),LIVE CHAT,Full Service,CR,Other,0.0,1
after sales user fraud (under anti fraud review),LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CR,Other,0.0,1
user don't want the order anymore,PHONE,Food,MX,Other,0.0,1
driver or store request to cancel order,PHONE,Food,MX,Other,0.0,1
refund status and conditions,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Market Place,CO,Other,0.0,1
inedible order,LIVE CHAT,Full Service,CO,Other,0.0,1
inedible order,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Food,MX,Other,0.0,1
after sales user fraud (under anti fraud review),LIVE CHAT,Full Service,PE,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,No contesta el chat,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Food,MX,Other,0.0,1
inedible order,LIVE CHAT,Full Service,CO,No resolvieron mi problemática mal servicio,0.0,1
user don't want the order anymore,PHONE,Food,MX,Other,0.0,1
rate another user,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Dudo mucho que mi pedido llegue a tiempo ya tengo mucho tiempo esperando y no me parece que me tenga que esperar tanto tiempo al reembolso si el error no fue mío es de ustedes y no se hacen responsables como proveedor la tienda cierra a las 10 y no creo que llegue mi pedido pésimo servicio de ustedes,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Full Service,CO,"Nunca me resolvieron el asesor joan, me robaron el pago de mi pedido por 122mil y el repartidor nunca llego y nunca se comunicó quien me soluciona el puto problema",0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,CO,No answer from support after waiting on the queue,0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,CO,Other,0.0,1
inedible order,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,PHONE,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Full Service,CO,Other,0.0,1
Damaged order,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
issues while paying to courier,LIVE CHAT,Food,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
after sales user fraud (under anti fraud review),LIVE CHAT,Full Service,CO,Other,0.0,1
wrong order,LIVE CHAT,Food,MX,"No me brindaron ninguna solución, pague por un pedido que no encargue, me rechazaron la propuesta aun con pruebas y no me dejan hablar con nadie",0.0,1
user request order status or delay information,LIVE CHAT,Market Place,MX,no recibí ninguna solución,0.0,1
user don't want the order anymore,LIVE CHAT,Food,MX,No me haya cancelado,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
membership program renewal charge,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
